picasso,van gogh,kahlo,vermeer,magritte,klimt,da vinci,caravaggio,schiele
"picasso, pablo picasso, пабло пикассо, пикассо","van gogh, vincent van gogh, vincent, ван гога","frida, frida kahlo, фрида кало","johannes vermeer, vermeer, ян вермеер, jan vermeer, яна вермеера","rené magritte, magritte, rene magritte, рене магритт","gustav klimt, klimt, густав климт","leonardo da vinci, леонардо да винчи, mona lisa",caravaggio,"egon schiele, schiele"
